instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,casual_ratio,registered_ratio
1,2011-01-01,1,0,1,0,6,0,Cloudy,0.344167,0.363625,0.805833,0.160446,331,654,985,0.33604060913705586,0.6639593908629442
2,2011-01-02,1,0,1,0,0,0,Cloudy,0.363478,0.353739,0.696087,0.248539,131,670,801,0.16354556803995007,0.83645443196005
3,2011-01-03,1,0,1,0,1,1,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,0.08895478131949593,0.911045218680504
4,2011-01-04,1,0,1,0,2,1,Clear,0.2,0.212122,0.590435,0.160296,108,1454,1562,0.06914212548015365,0.9308578745198464
5,2011-01-05,1,0,1,0,3,1,Clear,0.226957,0.22927,0.436957,0.1869,82,1518,1600,0.05125,0.94875
6,2011-01-06,1,0,1,0,4,1,Clear,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,0.0547945205479452,0.9452054794520548
7,2011-01-07,1,0,1,0,5,1,Cloudy,0.196522,0.208839,0.498696,0.168726,148,1362,1510,0.09801324503311258,0.9019867549668874
8,2011-01-08,1,0,1,0,6,0,Cloudy,0.165,0.162254,0.535833,0.266804,68,891,959,0.07090719499478623,0.9290928050052137
9,2011-01-09,1,0,1,0,0,0,Clear,0.138333,0.116175,0.434167,0.36195,54,768,822,0.06569343065693431,0.9343065693430657
10,2011-01-10,1,0,1,0,1,1,Clear,0.150833,0.150888,0.482917,0.223267,41,1280,1321,0.031037093111279335,0.9689629068887207
11,2011-01-11,1,0,1,0,2,1,Cloudy,0.169091,0.191464,0.686364,0.122132,43,1220,1263,0.034045922406967535,0.9659540775930324
12,2011-01-12,1,0,1,0,3,1,Clear,0.172727,0.160473,0.599545,0.304627,25,1137,1162,0.021514629948364887,0.9784853700516352
13,2011-01-13,1,0,1,0,4,1,Clear,0.165,0.150883,0.470417,0.301,38,1368,1406,0.02702702702702703,0.972972972972973
14,2011-01-14,1,0,1,0,5,1,Clear,0.16087,0.188413,0.537826,0.126548,54,1367,1421,0.038001407459535536,0.9619985925404645
15,2011-01-15,1,0,1,0,6,0,Cloudy,0.233333,0.248112,0.49875,0.157963,222,1026,1248,0.1778846153846154,0.8221153846153846
16,2011-01-16,1,0,1,0,0,0,Clear,0.231667,0.234217,0.48375,0.188433,251,953,1204,0.2084717607973422,0.7915282392026578
17,2011-01-17,1,0,1,1,1,0,Cloudy,0.175833,0.176771,0.5375,0.194017,117,883,1000,0.117,0.883
18,2011-01-18,1,0,1,0,2,1,Cloudy,0.216667,0.232333,0.861667,0.146775,9,674,683,0.013177159590043924,0.986822840409956
